document,date,datetype,location
No-MM_N2268,1929-02,instance,N/A
No-MM_N2273,1929-02,instance,N/A
No-MM_N2277,1909-12,instance,N/A
No-MM_N2278,1913-09,instance,N/A
No-MM_N2279,1914-03,instance,N/A
No-MM_N2282,1896,instance,N/A
No-MM_N2283,1906-04,instance,N/A
No-MM_N2287,N/A,N/A,Åsgårdstrand
No-MM_N2288,1912-03,instance,N/A
No-MM_N2289,1913-03,instance,N/A
No-MM_N2291,1910-01,instance,N/A
No-MM_N2294,1906,instance,N/A
No-MM_N2295,1906-07,instance,N/A
No-MM_N2297,N/A,N/A,Bad Elgersburg
No-MM_N2299,N/A,N/A,Kragerø
No-MM_N2301,1912-08,instance,N/A
No-MM_N2302,1912.04%1912.05,fromTo,N/A
No-MM_N2304,1907,instance,N/A
No-MM_N2308,N/A,N/A,Berlin
No-MM_N2310,1930-08,instance,N/A
No-MM_N2311,1918-12,instance,N/A
No-MM_N2312,1930.02%1930.04,fromTo,N/A
No-MM_N2313,1930-08,instance,N/A
No-MM_N2315,N/A,N/A,Moss
No-MM_N2316,1921-10,instance,N/A
No-MM_N2317,N/A,N/A,Oslo
No-MM_N2318,1902-12,instance,N/A
No-MM_N2319,1902-12,instance,N/A
No-MM_N2320,N/A,N/A,Zürich
No-MM_N2326,1908-04,instance,N/A
No-MM_N2327,1908.11%1908.12,fromTo,N/A
No-MM_N2333,1903-01,instance,N/A
No-MM_N2339,1922-05,instance,N/A
No-MM_N2341,1909-11,instance,N/A
No-MM_N2344,1922-07,instance,N/A
No-MM_N2349,N/A,N/A,Oslo
No-MM_N2350,1930-09,instance,N/A
No-MM_N2353,1897-06-26,instance,Åsgårdstrand
No-MM_N2354,1897-11,instance,N/A
No-MM_N2355,1897.11%1897.12,fromTo,N/A
No-MM_N2357,1923-02,instance,N/A
No-MM_N2358,N/A,N/A,Oslo
No-MM_N2362,1924-05,instance,N/A
No-MM_N2365,N/A,N/A,Oslo
No-MM_N2369,1903-05,instance,Lübeck
No-MM_N2370,1903.04%1903.05,fromTo,N/A
No-MM_N2372,1903.04%1903.05,fromTo,N/A
No-MM_N2381,1903-05,instance,N/A
No-MM_N2383,N/A,N/A,Åsgårdstrand
No-MM_N2388,1911-02,instance,N/A
No-MM_N2395,N/A,N/A,Oslo
No-MM_N2396,1894-04-02,instance,N/A
No-MM_N2397,1913-09,instance,N/A
No-MM_N2399,1895-07-26,instance,Oslo
No-MM_N2400,1895-07-27,instance,Oslo
No-MM_N2404,1921%1921,fromTo,N/A
No-MM_N2405,1929-01,instance,N/A
No-MM_N2406,1929-07,instance,Oslo
No-MM_N2407,1929-07,instance,N/A
No-MM_N2410,N/A,N/A,Oslo
No-MM_N2411,1918-12,instance,N/A
No-MM_N2412,1918-12,instance,N/A
No-MM_N2413,1918-12,instance,N/A
No-MM_N2414,1918-12,instance,N/A
No-MM_N2415,1918%1918,fromTo,N/A
No-MM_N2416,1919-01,instance,N/A
No-MM_N2417,1923-12,instance,N/A
No-MM_N2420,1896-06,instance,N/A
No-MM_N2423,1928.11%1928.12,fromTo,N/A
No-MM_N2425,N/A,N/A,Oslo
No-MM_N2433,1926-11,instance,N/A
No-MM_N2436,N/A,N/A,Oslo
No-MM_N2437,1902-12,instance,N/A
No-MM_N2438,1906.12%1907.01,fromTo,Saaleck
No-MM_N2439,1906-12,instance,N/A
No-MM_N2441,1911.06%1911.07,fromTo,N/A
No-MM_N2445,1907-04,instance,N/A
No-MM_N2447,1906-12,instance,N/A
No-MM_N2448,1906-03,instance,N/A
No-MM_N2449,1906-03,instance,N/A
No-MM_N2450,1906-08,instance,N/A
No-MM_N2451,1906-07,instance,N/A
No-MM_N2452,1912-01,instance,N/A
No-MM_N2453,N/A,N/A,Moss
No-MM_N2454,1913-11,instance,N/A
No-MM_N2455,1914.03%1914.04,fromTo,N/A
No-MM_N2456,1913-11,instance,N/A
No-MM_N2457,1926-01,instance,N/A
No-MM_N2459,1926-01,instance,N/A
No-MM_N2460,1926-01,instance,N/A
No-MM_N2461,1926-01,instance,N/A
No-MM_N2462,1926-04,instance,N/A
No-MM_N2465,1924-12,instance,N/A
No-MM_N2466,1924-02,instance,N/A
No-MM_N2467,1926-04,instance,N/A
No-MM_N2468,1929-04,instance,N/A
No-MM_N2470,1929-08,instance,N/A
No-MM_N2471,1906-03,instance,N/A
No-MM_N2477,1926-11,instance,N/A
No-MM_N2478,1926-11,instance,N/A
No-MM_N2479,1926-11,instance,N/A
No-MM_N2482,1928-06,instance,N/A
No-MM_N2484,N/A,N/A,Hvitsten
No-MM_N2485,1924-02,instance,N/A
No-MM_N2486,1924-02,instance,N/A
No-MM_N2487,1918-12,instance,N/A
No-MM_N2490,1930-02,instance,N/A
No-MM_N2491,1930-02,instance,N/A
No-MM_N2492,1930-02,instance,N/A
No-MM_N2493,1930-02,instance,N/A
No-MM_N2494,1930-02,instance,N/A
No-MM_N2495,1930-02,instance,N/A
No-MM_N2496,1930-02,instance,N/A
No-MM_N2497,1930-02,instance,N/A
No-MM_N2499,N/A,N/A,Oslo
No-MM_N2503,1923-02,instance,N/A
No-MM_N2504,1923-02,instance,N/A
No-MM_N2508,1920-06,instance,N/A
No-MM_N2509,1929-06,instance,N/A
No-MM_N2510,N/A,N/A,Oslo
No-MM_N2514,1930-02,instance,N/A
No-MM_N2515,N/A,N/A,Bad Kösen
No-MM_N2519,N/A,N/A,København
No-MM_N2527,N/A,N/A,Tårup
No-MM_N2532,N/A,N/A,Bad Kösen
No-MM_N2533,1913-10,instance,N/A
No-MM_N2534,N/A,N/A,Oslo
No-MM_N2535,1931.01%1931.02,fromTo,N/A
No-MM_N2537,1929-11,instance,N/A
No-MM_N2538,1931-12,instance,N/A
No-MM_N2539,1932-08,instance,N/A
No-MM_N2540,N/A,N/A,Oslo
No-MM_N2548,N/A,N/A,Oslo
No-MM_N2557,1906-05,instance,N/A
No-MM_N2558,N/A,N/A,Bad Kösen
No-MM_N2559,N/A,N/A,Bad Kösen
No-MM_N2561,1906-11,instance,N/A
No-MM_N2562,N/A,N/A,Bad Kösen
No-MM_N2563,1906-05,instance,N/A
No-MM_N2564,1906,instance,N/A
No-MM_N2567,1906,instance,N/A
No-MM_N2568,N/A,N/A,Bad Kösen
No-MM_N2569,N/A,N/A,Bad Kösen
No-MM_N2575,N/A,N/A,Bad Kösen
No-MM_N2588,N/A,N/A,Bad Nauheim
No-MM_N2594,1926-08,instance,N/A
No-MM_N2595,1926-08,instance,N/A
No-MM_N2596,N/A,N/A,Oslo
No-MM_N2597,N/A,N/A,Bad Nauheim
No-MM_N2601,N/A,N/A,Bad Kösen
No-MM_N2602,N/A,N/A,Oslo
No-MM_N2608,N/A,N/A,Oslo
No-MM_N2611,1926-04,instance,Oslo
No-MM_N2612,1927%1927,fromTo,N/A
No-MM_N2614,N/A,N/A,Oslo
No-MM_N2621,1928-02,instance,N/A
No-MM_N2625,1929-10,instance,N/A
No-MM_N2627,1929-08,instance,N/A
No-MM_N2629,N/A,N/A,Oslo
No-MM_N2632,N/A,N/A,Oslo
No-MM_N2637,1927-06,instance,N/A
No-MM_N2644,1929-08,instance,N/A
No-MM_N2648,1929-08,instance,N/A
No-MM_N2649,1926,instance,N/A
No-MM_N2650,1929-08,instance,N/A
No-MM_N2651,1929-08,instance,N/A
No-MM_N2659,1909-04,instance,N/A
No-MM_N2663,1919-10,instance,N/A
No-MM_N2664,1897-02-11,instance,Paris
No-MM_N2665,N/A,N/A,Oslo
No-MM_N2671,1929-08,instance,N/A
No-MM_N2674,1913-02,instance,N/A
No-MM_N2694,1910-09,instance,N/A
No-MM_N2701,1930-02,instance,N/A
No-MM_N2702,1930-02,instance,N/A
No-MM_N2703,1930-02,instance,N/A
No-MM_N2704,1930-02,instance,N/A
No-MM_N2705,1930-02,instance,N/A
No-MM_N2707,1926-11,instance,N/A
No-MM_N2715,1911-02,instance,N/A
No-MM_N2719,N/A,N/A,Oslo
No-MM_N2723,1927-01,instance,N/A
No-MM_N2724,N/A,N/A,Oslo
No-MM_N2725,1911-02,instance,N/A
No-MM_N2729,1924-12,instance,N/A
No-MM_N2731,1929-08,instance,N/A
No-MM_N2732,1929-11,instance,N/A
No-MM_N2737,1925-06,instance,N/A
No-MM_N2739,N/A,N/A,Moss
No-MM_N2741,1913-06,instance,N/A
No-MM_N2746,N/A,N/A,Bad Kösen
No-MM_N2747,1913-06,instance,N/A
No-MM_N2750,N/A,N/A,Oslo
No-MM_N2752,1926-06,instance,N/A
No-MM_N2753,N/A,N/A,Kragerø
No-MM_N2754,1905,instance,N/A
No-MM_N2755,1892.11%1892.12,fromTo,N/A
No-MM_N2757,1896-12-20,instance,Paris
No-MM_N2760,1914,instance,N/A
No-MM_N2761,1906-09,instance,N/A
No-MM_N2770,1908-06,instance,Warnemünde
No-MM_N2775,1913-08,instance,N/A
No-MM_N2778,1931-12,instance,N/A
No-MM_N2780,N/A,N/A,København
No-MM_N2782,1926-11,instance,N/A
No-MM_N2789,1895-01,instance,N/A
No-MM_N2793,N/A,N/A,Oslo
No-MM_N2794,N/A,N/A,Oslo
No-MM_N2800,N/A,N/A,Oslo
No-MM_N2801,N/A,N/A,Berlin
No-MM_N2802,N/A,N/A,Berlin
No-MM_N2808,N/A,N/A,Åsgårdstrand
No-MM_N2811,N/A,N/A,Oslo
No-MM_N2814,N/A,N/A,Åsgårdstrand
No-MM_N2815,N/A,N/A,Åsgårdstrand
No-MM_N2816,N/A,N/A,Berlin
No-MM_N2817,N/A,N/A,Lübeck
No-MM_N2820,N/A,N/A,Lübeck
No-MM_N2821,N/A,N/A,Hamburg
No-MM_N2827,N/A,N/A,Berlin
No-MM_N2832,N/A,N/A,Åsgårdstrand
No-MM_N2835,N/A,N/A,Chemnitz
No-MM_N2836,N/A,N/A,Bad Elgersburg
No-MM_N2837,1893-03-04,instance,N/A
No-MM_N2847,N/A,N/A,Berlin
No-MM_N2849,N/A,N/A,Berlin
No-MM_N2853,N/A,N/A,Berlin
No-MM_N2856,N/A,N/A,København
No-MM_N2857,N/A,N/A,København
No-MM_N2858,N/A,N/A,Warnemünde
No-MM_N2863,N/A,N/A,København
No-MM_N2866,N/A,N/A,København
No-MM_N2868,N/A,N/A,København
No-MM_N2883,N/A,N/A,Hvitsten
No-MM_N2891,1913-07,instance,N/A
No-MM_N2905,N/A,N/A,Oslo
No-MM_N2917,N/A,N/A,Oslo
No-MM_N2922,1913-03,instance,N/A
No-MM_N2923,1922.04%1922.05,fromTo,N/A
No-MM_N2924,1927-06,instance,N/A
No-MM_N2925,1927-06,instance,N/A
No-MM_N2931,1920-07,instance,Oslo
No-MM_N2933,N/A,N/A,Oslo
No-MM_N2934,1912-12,instance,N/A
No-MM_N2949,N/A,N/A,Oslo
No-MM_N2950,N/A,N/A,Oslo
No-MM_N2955,N/A,N/A,Oslo
No-MM_N2956,N/A,N/A,Oslo
No-MM_N2962,N/A,N/A,Oslo
No-MM_N2967,N/A,N/A,Oslo
No-MM_N2968,N/A,N/A,Oslo
No-MM_N2977,1916%1916,fromTo,N/A
No-MM_N2981,1916-12,instance,N/A
No-MM_N2982,1916%1916,fromTo,N/A
No-MM_N2983,1916%1916,fromTo,N/A
No-MM_N2984,1916%1916,fromTo,N/A
No-MM_N2985,1916%1916,fromTo,N/A
No-MM_N3004,N/A,N/A,Lübeck
No-MM_N3006,N/A,N/A,Oslo
No-MM_N3010,1905-12,instance,N/A
No-MM_N3014,N/A,N/A,Warnemünde
No-MM_N3016,1912-05,instance,N/A
No-MM_N3018,N/A,N/A,Oslo
No-MM_N3020,N/A,N/A,Oslo
No-MM_N3021,N/A,N/A,Oslo
No-MM_N3023,1908-05,instance,N/A
No-MM_N3024,N/A,N/A,København
No-MM_N3030,1908-05,instance,N/A
No-MM_N3032,N/A,N/A,Oslo
No-MM_N3034,1892-02-20,instance,Nice
No-MM_N3035,1891-01-22,instance,Nice
No-MM_N3036,1892-02-08,instance,Nice
No-MM_N3037,1892-03-05,instance,Nice
No-MM_N3038,1892-04-01,instance,N/A
No-MM_N3039,1892,instance,N/A
No-MM_N3040,1892-07,instance,N/A
No-MM_N3041,1892.06%1892.07,fromTo,N/A
No-MM_N3042,1899-11-24,instance,N/A
No-MM_N3044,1902,instance,N/A
No-MM_N3048,1906-01,instance,N/A
No-MM_N3049,1906.01%1906.02,fromTo,N/A
No-MM_N3052,N/A,N/A,Lübeck
No-MM_N3053,1908-03,instance,N/A
No-MM_N3064,N/A,N/A,Kragerø
No-MM_N3065,1909.05%1909.06,fromTo,N/A
No-MM_N3068,1912-05,instance,N/A
No-MM_N3069,1913-12,instance,N/A
No-MM_N3072,1915-05,instance,N/A
No-MM_N3073,1913-06,instance,N/A
No-MM_N3076,N/A,N/A,Oslo
No-MM_N3077,N/A,N/A,Oslo
No-MM_N3079,N/A,N/A,Åsgårdstrand
No-MM_N3080,N/A,N/A,Åsgårdstrand
No-MM_N3081,N/A,N/A,Åsgårdstrand
No-MM_N3082,1905-02,instance,N/A
No-MM_N3084,1905-12,instance,Bad Elgersburg
No-MM_N3085,1906-10,instance,Bad Kösen
No-MM_N3088,1908-11,instance,N/A
No-MM_N3089,1909-04,instance,N/A
No-MM_N3090,1909-04,instance,N/A
No-MM_N3091,1909-12,instance,N/A
No-MM_N3092,1909.12%1910.01,fromTo,N/A
No-MM_N3094,1912-02,instance,N/A
No-MM_N3096,1912.01%1912.02,fromTo,N/A
No-MM_N3097,1912-04,instance,N/A
No-MM_N3100,1927-10,instance,N/A
No-MM_N3101,N/A,N/A,Åsgårdstrand
No-MM_N3102,N/A,N/A,Åsgårdstrand
No-MM_N3121,1932-01,instance,N/A
No-MM_N3124,N/A,N/A,Oslo
No-MM_N3125,N/A,N/A,Oslo
No-MM_N3128,N/A,N/A,Oslo
No-MM_N3138,N/A,N/A,Paris
No-MM_N3139,N/A,N/A,København
No-MM_N3142,N/A,N/A,København
No-MM_N3145,N/A,N/A,Bad Kösen
No-MM_N3149,N/A,N/A,Bad Elgersburg
No-MM_N3151,N/A,N/A,Åsgårdstrand
No-MM_N3159,N/A,N/A,Hamburg
No-MM_N3161,N/A,N/A,Praha
No-MM_N3162,N/A,N/A,Lübeck
No-MM_N3166,N/A,N/A,Kragerø
No-MM_N3167,N/A,N/A,Kragerø
No-MM_N3170,N/A,N/A,Hvitsten
No-MM_N3171,1911-09,instance,Hvitsten
No-MM_N3172,N/A,N/A,Lübeck
No-MM_N3175,N/A,N/A,Lübeck
No-MM_N3176,N/A,N/A,Åsgårdstrand
No-MM_N3184,N/A,N/A,Hvitsten
No-MM_N3189,N/A,N/A,Åsgårdstrand
No-MM_N3192,N/A,N/A,Åsgårdstrand
No-MM_N3194,N/A,N/A,Åsgårdstrand
No-MM_N3196,N/A,N/A,Hvitsten
No-MM_N3203,N/A,N/A,Hvitsten
No-MM_N3205,N/A,N/A,Paris
No-MM_N3206,N/A,N/A,Paris
No-MM_N3210,N/A,N/A,Berlin
No-MM_N3214,1912-12,instance,N/A
No-MM_N3220,N/A,N/A,Berlin
No-MM_N3221,1913-02,instance,N/A
No-MM_N3222,N/A,N/A,Kragerø
No-MM_N3231,1913-06,instance,N/A
No-MM_N3232,N/A,N/A,Kragerø
No-MM_N3235,N/A,N/A,Halden
No-MM_N3236,1909-12,instance,N/A
No-MM_N3238,1914-06,instance,N/A
No-MM_N3240,1914-12,instance,N/A
No-MM_N3241,1915-05,instance,N/A
No-MM_N3242,1916%1916,fromTo,N/A
No-MM_N3243,1915-02,instance,N/A
No-MM_N3246,N/A,N/A,Åsgårdstrand
No-MM_N3251,N/A,N/A,Oslo
No-MM_N3259,N/A,N/A,København
No-MM_N3262,1909-05,instance,N/A
No-MM_N3265,N/A,N/A,Kragerø
No-MM_N3270,1910.05%1910.06,fromTo,N/A
No-MM_N3272,1909-05,instance,Kragerø
No-MM_N3273,1915-04,instance,Kragerø
No-MM_N3274,1909-12,instance,N/A
No-MM_N3277,N/A,N/A,Oslo
No-MM_N3291,N/A,N/A,Oslo
No-MM_N3298,N/A,N/A,Oslo
No-MM_N3299,N/A,N/A,Oslo
No-MM_N3300,N/A,N/A,Oslo
No-MM_N3303,N/A,N/A,Oslo
No-MM_N3304,N/A,N/A,Oslo
No-MM_N3305,N/A,N/A,Oslo
No-MM_N3307,N/A,N/A,Oslo
No-MM_N3308,1912-02,instance,N/A
No-MM_N3316,1894,instance,N/A
No-MM_N3317,1895-03,instance,N/A
No-MM_N3318,1896-04-09,instance,Paris
No-MM_N3319,N/A,N/A,Oslo
No-MM_N3320,N/A,N/A,Oslo
No-MM_N3321,N/A,N/A,Oslo
No-MM_N3322,N/A,N/A,København
No-MM_N3325,1894-09-15,instance,N/A
No-MM_N3328,1929.08%1929.09,fromTo,N/A
No-MM_N3329,N/A,N/A,Oslo
No-MM_N3330,N/A,N/A,Oslo
No-MM_N3332,N/A,N/A,Bad Kösen
No-MM_N3333,1906.07%1906.08,fromTo,Ilmenau
No-MM_N3335,1906-10,instance,N/A
No-MM_N3336,1906.12%1907.01,fromTo,N/A
No-MM_N3338,N/A,N/A,Bad Kösen
No-MM_N3339,N/A,N/A,Bad Kösen
No-MM_N3343,N/A,N/A,Oslo
No-MM_N3344,1908,instance,N/A
No-MM_N3346,1928-02,instance,Oslo
No-MM_N3347,N/A,N/A,Oslo
No-MM_N3348,1927-10,instance,N/A
No-MM_N3349,1923-10,instance,N/A
No-MM_N3350,1923-10,instance,N/A
No-MM_N3353,1900-12,instance,N/A
No-MM_N3356,N/A,N/A,Oslo
No-MM_N3360,1906-05,instance,N/A
No-MM_N3362,N/A,N/A,Bad Kösen
No-MM_N3369,N/A,N/A,Oslo
No-MM_N3371,1925-12,instance,N/A
No-MM_N3375,1904-03,instance,N/A
No-MM_N3376,1932-02,instance,N/A
No-MM_N3377,N/A,N/A,Oslo
No-MM_N3379,1929-08,instance,N/A
No-MM_N3380,1929-08,instance,N/A
No-MM_N3381,N/A,N/A,Oslo
No-MM_N3384,N/A,N/A,Oslo
No-MM_N3385,N/A,N/A,Oslo
No-MM_N3386,N/A,N/A,Oslo
No-MM_N3387,N/A,N/A,Oslo
No-MM_N3388,N/A,N/A,Oslo
No-MM_N3390,N/A,N/A,Wiesbaden
No-MM_N3391,N/A,N/A,Oslo
No-MM_N3396,1927-01,instance,N/A
No-MM_N3397,1927-10,instance,N/A
No-MM_N3399,1896-04,instance,N/A
No-MM_N3400,1896%1896,fromTo,N/A
No-MM_N3402,N/A,N/A,Oslo
No-MM_N3410,1910.05%1910.06,fromTo,N/A
No-MM_N3411,1910.05%1910.06,fromTo,N/A
No-MM_N3413,1897-08-02,instance,N/A
No-MM_N3414,1897,instance,N/A
No-MM_N3416,1898-07,instance,N/A
No-MM_N3418,N/A,N/A,Moss
No-MM_N3420,1904-05,instance,N/A
No-MM_N3421,1922-04,instance,N/A
No-MM_N3422,N/A,N/A,Oslo
No-MM_N3426,1926-11,instance,N/A
No-MM_N3427,1925.06%1925.07,fromTo,N/A
No-MM_N3428,N/A,N/A,Oslo
No-MM_N3429,1913-11,instance,N/A
No-MM_N3430,1921-01,instance,N/A
No-MM_N3431,1922-08,instance,N/A
No-MM_N3433,1926-11,instance,N/A
No-MM_N3434,1926-11,instance,N/A
No-MM_N3435,1926-11,instance,N/A
No-MM_N3436,1926-11,instance,N/A
No-MM_N3444,N/A,N/A,Oslo
No-MM_N3446,N/A,N/A,Oslo
No-MM_N3447,1927-04,instance,N/A
No-MM_N3449,1927.05%1927.06,fromTo,N/A
No-MM_N3450,N/A,N/A,Oslo
No-MM_N3451,1917.06%1917.07,fromTo,N/A
No-MM_N3453,N/A,N/A,Oslo
No-MM_N3454,N/A,N/A,Kragerø
No-MM_N3456,1926-11,instance,N/A
No-MM_N3457,N/A,N/A,Oslo
No-MM_N3458,1927-06,instance,N/A
No-MM_N3461,1902-02,instance,N/A
No-MM_N3463,N/A,N/A,Bad Kösen
No-MM_N3465,1927-10,instance,N/A
No-MM_N3466,1927-10,instance,N/A
No-MM_N3471,1906-05,instance,N/A
No-MM_N3472,1906-11,instance,N/A
No-MM_N3475,1926-10,instance,N/A
No-MM_N3478,1925-05,instance,Oslo
No-MM_N3481,1927-01,instance,N/A
No-MM_N3482,1927-01,instance,N/A
No-MM_N3484,1929-01,instance,N/A
No-MM_N3489,1893.02%1893.03,fromTo,N/A
No-MM_N3490,1892-12,instance,N/A
No-MM_N3492,N/A,N/A,Vestre Aker
No-MM_N3493,1890-12-22,instance,Le Havre
No-MM_N3495,1906.12%1907.01,fromTo,Bad Kösen
No-MM_N3496,1925-08,instance,N/A
No-MM_N3500,1929-02,instance,N/A
No-MM_N3502,N/A,N/A,Oslo
No-MM_N3503,N/A,N/A,Oslo
No-MM_N3510,1882-06,instance,N/A
No-MM_N3511,1884-02,instance,N/A
No-MM_N3514,N/A,N/A,Kragerø
No-MM_N3515,1914-03,instance,N/A
No-MM_N3516,N/A,N/A,Nice
No-MM_N3527,N/A,N/A,Göteborg
No-MM_N3542,N/A,N/A,Oslo
No-MM_N3550,N/A,N/A,Oslo
No-MM_N3551,N/A,N/A,Vestre Aker
No-MM_N3552,N/A,N/A,Oslo
No-MM_N3553,N/A,N/A,Vestre Aker
No-MM_N3557,N/A,N/A,Oslo
No-MM_N3558,N/A,N/A,Oslo
No-MM_N3564,N/A,N/A,Oslo
No-MM_N3569,N/A,N/A,Oslo
No-MM_N3570,N/A,N/A,Oslo
No-MM_N3572,N/A,N/A,Oslo
No-MM_N3574,N/A,N/A,Oslo
No-MM_N3577,N/A,N/A,Oslo
No-MM_N3638,N/A,N/A,Vestre Aker
No-MM_N3639,N/A,N/A,Oslo
No-MM_N3640,N/A,N/A,Oslo
No-MM_N3642,N/A,N/A,Oslo
No-MM_N3644,1886-10-04,instance,Oslo
No-MM_N3646,N/A,N/A,Oslo
No-MM_N3648,1930-08,instance,N/A
No-MM_N3649,1893.07%1893.08,fromTo,N/A
No-MM_N3655,N/A,N/A,Oslo
No-MM_N3661,N/A,N/A,Oslo
No-MM_N3662,N/A,N/A,Oslo
No-MM_N3663,1892-12,instance,N/A
No-MM_N3664,1892-01-02,instance,Nice
No-MM_N3665,1887-09-30,instance,Oslo
No-MM_N3666,1891-02,instance,N/A
No-MM_N3667,1891-02-03,instance,Nice
No-MM_N3668,N/A,N/A,Oslo
No-MM_N3669,N/A,N/A,Oslo
No-MM_N3671,1908-05,instance,N/A
No-MM_N3672,1929-02,instance,N/A
No-MM_N3678,1889-06,instance,N/A
No-MM_N3679,1893-03-16,instance,Berlin
No-MM_N3685,1891-04,instance,N/A
No-MM_N3712,1930-04,instance,N/A
No-MM_N3752,1931-06,instance,N/A
No-MM_N3786,1922-02,instance,N/A
No-MM_T2810,1890-01-24,instance,N/A
No-MM_T2899,1892.02%1892.03,fromTo,N/A
PN0006,N/A,N/A,Oslo
PN0013,1909-03,instance,N/A
PN0017,1893,instance,N/A
PN0018,1893-12-05,instance,N/A
PN0019,1893.11%1894.02,fromTo,N/A
PN0020,1893-02-08,instance,N/A
PN0021,1893-05,instance,N/A
PN0022,1898-03,instance,N/A
PN0023,1898-03,instance,N/A
PN0024,1898-03,instance,N/A
PN0033,1897-07,instance,N/A
PN0036,1907-01,instance,N/A
PN0041,1928,instance,N/A
PN0043,1895-07-23,instance,N/A
PN0044,1897-08-22,instance,N/A
PN0045,1896%1896,fromTo,N/A
PN0046,1897-11,instance,N/A
PN0059,1905-12,instance,N/A
PN0062,1906-01,instance,N/A
PN0063,1906.01%1906.02,fromTo,N/A
PN0064,1906.01%1906.02,fromTo,N/A
PN0065,1906.01%1906.02,fromTo,N/A
PN0066,1906.01%1906.02,fromTo,N/A
PN0067,1906.01%1906.02,fromTo,N/A
PN0068,1906.01%1906.02,fromTo,N/A
PN0069,1906.01%1906.02,fromTo,N/A
PN0071,1906,instance,N/A
PN0072,1906-02,instance,N/A
PN0073,1906,instance,N/A
PN0074,1906-05,instance,N/A
PN0075,1906-07,instance,N/A
PN0076,1906-06,instance,N/A
PN0077,1906.07%1906.08,fromTo,N/A
PN0081,1906,instance,N/A
PN0082,1906.11%1906.12,fromTo,N/A
PN0083,1906-12,instance,N/A
PN0091,1908-05,instance,N/A
PN0092,1931.01%1931.02,fromTo,N/A
PN0093,1931-01,instance,N/A
PN0094,1931-01,instance,N/A
PN0097,1931-02,instance,N/A
PN0141,1903-03,instance,N/A
PN0143,1903-06,instance,N/A
PN0148,1905-07,instance,N/A
PN0152,1906-04,instance,N/A
PN0153,1906-04,instance,N/A
PN0184,1901.11%1901.12,fromTo,N/A
PN0185,N/A,N/A,Berlin
PN0186,N/A,N/A,Berlin
PN0187,N/A,N/A,Berlin
PN0188,1901.11%1901.12,fromTo,N/A
PN0189,N/A,N/A,Bad Elgersburg
PN0190,1901.10%1901.11,fromTo,N/A
PN0191,N/A,N/A,Åsgårdstrand
PN0192,1912.01%1912.02,fromTo,N/A
PN0193,1895-07-15,instance,N/A
PN0195,1888-08-06,instance,N/A
PN0202,1922.11%1922.12,fromTo,N/A
PN0203,1896-01,instance,N/A
PN0205,1911-10,instance,N/A
PN0209,1896-06,instance,N/A
PN0210,1896-03-31,instance,N/A
PN0211,1890-11-21,instance,N/A
PN0223,N/A,N/A,Oslo
PN0224,N/A,N/A,Oslo
PN0228,N/A,N/A,Oslo
PN0229,N/A,N/A,Oslo
PN0232,N/A,N/A,Oslo
PN0233,N/A,N/A,Oslo
PN0235,N/A,N/A,Oslo
PN0238,N/A,N/A,Oslo
PN0239,N/A,N/A,Oslo
PN0240,N/A,N/A,Oslo
PN0243,N/A,N/A,Oslo
PN0244,N/A,N/A,Oslo
PN0245,N/A,N/A,Oslo
PN0246,N/A,N/A,Oslo
PN0247,N/A,N/A,Oslo
PN0250,N/A,N/A,Oslo
PN0251,1914-03,instance,N/A
PN0252,1909-11,instance,N/A
PN0254,1909-12,instance,N/A
PN0256,N/A,N/A,Oslo
PN0259,N/A,N/A,Oslo
PN0261,1905-02,instance,N/A
PN0262,1902-04,instance,N/A
PN0263,1892-09-13,instance,N/A
PN0264,1892-11-11,instance,Berlin
PN0265,1892-11-16,instance,N/A
PN0266,1896-06-29,instance,Paris
PN0267,1896-07-25,instance,Paris
PN0268,1896-08-07,instance,N/A
PN0269,N/A,N/A,Bad Kösen
PN0271,1913-01,instance,N/A
PN0275,1898-07,instance,N/A
PN0276,1895-03-28,instance,N/A
PN0282,1905-01,instance,N/A
PN0284,1892-06,instance,N/A
PN0285,1892-07-20,instance,N/A
PN0287,1902.08%1902.09,fromTo,N/A
PN0289,N/A,N/A,Åsgårdstrand
PN0291,1927-10,instance,N/A
PN0297,1895-05-14,instance,N/A
PN0298,N/A,N/A,Oslo
PN0303,1884-12-14,instance,Oslo
PN0304,1909-02,instance,N/A
PN0305,N/A,N/A,Oslo
PN0308,1902.09%1902.10,fromTo,N/A
PN0309,N/A,N/A,Oslo
PN0310,N/A,N/A,Oslo
PN0315,1918.05%1918.06,fromTo,N/A
PN0316,1922-12,instance,N/A
PN0318,N/A,N/A,Oslo
PN0320,N/A,N/A,Oslo
PN0323,N/A,N/A,Oslo
PN0325,N/A,N/A,Oslo
PN0326,N/A,N/A,Oslo
PN0328,1908-11,instance,N/A
PN0332,N/A,N/A,Oslo
PN0340,1903-08,instance,N/A
PN0341,1903-10,instance,N/A
PN0343,1903-11,instance,N/A
PN0344,1903-11,instance,N/A
PN0347,1904.02.01%1904.02.02,fromTo,N/A
PN0348,1904-02,instance,N/A
PN0349,1904-03,instance,N/A
PN0354,1904-05,instance,N/A
PN0356,1904-05,instance,N/A
PN0364,1905-01,instance,N/A
PN0367,1905-03,instance,N/A
PN0368,1905-04,instance,N/A
PN0369,1905.04%1905.05,fromTo,N/A
PN0370,1905.05%1905.06,fromTo,N/A
