document,date,datetype,location
No-MM_N0777,1892-01-02,instance,Nice
No-MM_N0778,1892-02,instance,N/A
No-MM_N0779,1892-02,instance,N/A
No-MM_N0780,1892-02-23,instance,Nice
No-MM_N0781,1892-10-20,instance,N/A
No-MM_N0782,1892-03,instance,N/A
No-MM_N0783,1892-10-25,instance,Berlin
No-MM_N0784,1892-11,instance,N/A
No-MM_N0785,1892-11-12,instance,Berlin
No-MM_N0786,1892-11-17,instance,Berlin
No-MM_N0787,1892-11-26,instance,Berlin
No-MM_N0788,1893-12,instance,N/A
No-MM_N0789,1906-06,instance,N/A
No-MM_N0790,1893-01-20,instance,Berlin
No-MM_N0791,1893-02-25,instance,Berlin
No-MM_N0792,1893-04,instance,N/A
No-MM_N0793,1893-06,instance,N/A
No-MM_N0794,1893-05-26,instance,Dresden
No-MM_N0795,1893-06-18,instance,N/A
No-MM_N0796,1893,instance,N/A
No-MM_N0797,1893-11-17,instance,N/A
No-MM_N0798,1893-12-18,instance,Berlin
No-MM_N0799,1906-03,instance,N/A
No-MM_N0800,1893-12-03,instance,Berlin
No-MM_N0801,1892.12%1893.01,fromTo,N/A
No-MM_N0802,1894-02-25,instance,N/A
No-MM_N0803,1894-03-13,instance,Berlin
No-MM_N0804,1894-04-29,instance,Berlin
No-MM_N0805,1894-10-07,instance,Stockholm
No-MM_N0806,1894-10-24,instance,Berlin
No-MM_N0807,1894-11-14,instance,Berlin
No-MM_N0808,1895-02-03,instance,Berlin
No-MM_N0809,1894-04,instance,N/A
No-MM_N0810,1895-03,instance,N/A
No-MM_N0811,1895-06,instance,N/A
No-MM_N0812,1895-10,instance,N/A
No-MM_N0813,1895-10-26,instance,N/A
No-MM_N0814,1896-02-26,instance,N/A
No-MM_N0815,1897,instance,N/A
No-MM_N0816,1896-03,instance,N/A
No-MM_N0817,1896-03-27,instance,N/A
No-MM_N0818,1896-05-12,instance,N/A
No-MM_N0819,1896-07-01,instance,N/A
No-MM_N0820,1896-09,instance,N/A
No-MM_N0821,1896-08-04,instance,N/A
No-MM_N0822,1896,instance,N/A
No-MM_N0823,1896-10-16,instance,N/A
No-MM_N0824,1896-11,instance,N/A
No-MM_N0825,1897,instance,N/A
No-MM_N0826,1897-01,instance,N/A
No-MM_N0827,1897-01,instance,N/A
No-MM_N0828,1898-03-19,instance,N/A
No-MM_N0829,1899-04-25,instance,N/A
No-MM_N0830,1899-05-08,instance,N/A
No-MM_N0831,1899-04,instance,N/A
No-MM_N0832,1900.06%1900.07,fromTo,N/A
No-MM_N0833,1899-11,instance,N/A
No-MM_N0834,1899-11,instance,N/A
No-MM_N0837,1900-09,instance,N/A
No-MM_N0841,1901.12%1902.01,fromTo,N/A
No-MM_N0844,1902-03,instance,N/A
No-MM_N0849,1893-06,instance,N/A
No-MM_N0851,1902-08,instance,N/A
No-MM_N0852,N/A,N/A,Lübeck
No-MM_N0853,N/A,N/A,Lübeck
No-MM_N0855,N/A,N/A,Berlin
No-MM_N0859,N/A,N/A,Leipzig
No-MM_N0860,N/A,N/A,Paris
No-MM_N0861,N/A,N/A,Paris
No-MM_N0862,N/A,N/A,Lübeck
No-MM_N0864,N/A,N/A,Lübeck
No-MM_N0866,N/A,N/A,Berlin
No-MM_N0867,N/A,N/A,Lübeck
No-MM_N0869,1894-12,instance,N/A
No-MM_N0870,N/A,N/A,Weimar
No-MM_N0871,N/A,N/A,Åsgårdstrand
No-MM_N0872,1904-07,instance,N/A
No-MM_N0873,N/A,N/A,Lübeck
No-MM_N0874,N/A,N/A,Travemünde
No-MM_N0877,1904-09,instance,N/A
No-MM_N0878,N/A,N/A,Åsgårdstrand
No-MM_N0879,1905-08,instance,N/A
No-MM_N0880,N/A,N/A,Åsgårdstrand
No-MM_N0881,N/A,N/A,Åsgårdstrand
No-MM_N0883,N/A,N/A,Lübeck
No-MM_N0884,1903-10,instance,N/A
No-MM_N0885,1905-03,instance,N/A
No-MM_N0886,1905-03,instance,N/A
No-MM_N0887,1905.08%1905.09,fromTo,N/A
No-MM_N0888,1905-09,instance,N/A
No-MM_N0893,N/A,N/A,Praha
No-MM_N0895,N/A,N/A,Thüringen
No-MM_N0896,N/A,N/A,Bad Elgersburg
No-MM_N0897,1905,instance,N/A
No-MM_N0898,1905-08,instance,N/A
No-MM_N0899,1905-09,instance,N/A
No-MM_N0900,1906-09,instance,N/A
No-MM_N0901,N/A,N/A,Lübeck
No-MM_N0902,1905-03,instance,N/A
No-MM_N0904,N/A,N/A,Weimar
No-MM_N0905,1906-03,instance,N/A
No-MM_N0906,1906-03,instance,N/A
No-MM_N0907,N/A,N/A,Berlin
No-MM_N0908,1906-07,instance,N/A
No-MM_N0909,1906-09,instance,N/A
No-MM_N0913,1906-06,instance,N/A
No-MM_N0917,1906-06,instance,N/A
No-MM_N0921,1907-02,instance,N/A
No-MM_N0922,N/A,N/A,Stockholm
No-MM_N0926,1907-07,instance,N/A
No-MM_N0932,N/A,N/A,Warnemünde
No-MM_N0935,N/A,N/A,Berlin
No-MM_N0936,1908-03,instance,N/A
No-MM_N0937,N/A,N/A,Warnemünde
No-MM_N0938,N/A,N/A,Warnemünde
No-MM_N0939,1908-10,instance,N/A
No-MM_N0941,N/A,N/A,København
No-MM_N0942,N/A,N/A,København
No-MM_N0943,N/A,N/A,København
No-MM_N0944,N/A,N/A,København
No-MM_N0945,N/A,N/A,København
No-MM_N0946,1909-03,instance,N/A
No-MM_N0947,N/A,N/A,København
No-MM_N0949,N/A,N/A,København
No-MM_N0950,N/A,N/A,København
No-MM_N0953,1909-05,instance,N/A
No-MM_N0954,1909-05,instance,N/A
No-MM_N0956,N/A,N/A,Kragerø
No-MM_N0957,N/A,N/A,Travemünde
No-MM_N0958,N/A,N/A,Berlin
No-MM_N0959,1909-09,instance,N/A
No-MM_N0960,1909-10,instance,N/A
No-MM_N0962,1900-08,instance,N/A
No-MM_N0963,N/A,N/A,Kragerø
No-MM_N0964,1911-01,instance,N/A
No-MM_N0965,N/A,N/A,Hvitsten
No-MM_N0966,1911-02,instance,N/A
No-MM_N0970,1896-08-13,instance,N/A
No-MM_N0973,1911.08%1911.09,fromTo,N/A
No-MM_N0978,1913-09,instance,N/A
No-MM_N0989,N/A,N/A,Oslo
No-MM_N0991,1910-03,instance,N/A
No-MM_N0992,1909-11,instance,N/A
No-MM_N0993,N/A,N/A,Oslo
No-MM_N0998,1922-09,instance,N/A
No-MM_N0999,1916%1916,fromTo,N/A
No-MM_N1002,1925-02,instance,N/A
No-MM_N1004,1917-12,instance,N/A
No-MM_N1011,N/A,N/A,Dresden
No-MM_N1015,1915-02,instance,N/A
No-MM_N1017,1916-11,instance,N/A
No-MM_N1018,N/A,N/A,Roma
No-MM_N1019,N/A,N/A,Oslo
No-MM_N1026,1915-05,instance,N/A
No-MM_N1028,1889,instance,N/A
No-MM_N1033,1911-11,instance,N/A
No-MM_N1036,1916-02,instance,N/A
No-MM_N1038,1912-02,instance,N/A
No-MM_N1039,1910-04,instance,N/A
No-MM_N1041,1914-12,instance,N/A
No-MM_N1045,1908-12,instance,N/A
No-MM_N1050,1911-11,instance,N/A
No-MM_N1051,1910-08,instance,N/A
No-MM_N1054,1916.01%1916.02,fromTo,N/A
No-MM_N1061,1925-02,instance,N/A
No-MM_N1062,1922-10,instance,N/A
No-MM_N1063,1894,instance,N/A
No-MM_N1065,1915-03,instance,N/A
No-MM_N1068,1924,instance,N/A
No-MM_N1073,1922-09,instance,N/A
No-MM_N1076,1916%1916,fromTo,N/A
No-MM_N1079,1916%1916,fromTo,N/A
No-MM_N1080,1917.08%1917.09,fromTo,N/A
No-MM_N1081,1916-12,instance,N/A
No-MM_N1082,1916%1916,fromTo,N/A
No-MM_N1083,1909,instance,N/A
No-MM_N1084,1916%1916,fromTo,N/A
No-MM_N1085,1915-09,instance,N/A
No-MM_N1086,1916-12,instance,N/A
No-MM_N1087,1916%1916,fromTo,N/A
No-MM_N1088,1916%1916,fromTo,N/A
No-MM_N1089,1914%1914,fromTo,N/A
No-MM_N1090,1916%1916,fromTo,N/A
No-MM_N1091,1915-03,instance,N/A
No-MM_N1092,1889-12-07,instance,Paris
No-MM_N1093,1890-02-15,instance,Saint-Cloud
No-MM_N1094,1890-05-06,instance,N/A
No-MM_N1095,1891-01-31,instance,Nice
No-MM_N1096,1891-04,instance,N/A
No-MM_N1097,1894-09-29,instance,N/A
No-MM_N1098,1894-09-29,instance,Stockholm
No-MM_N1099,1894-12-17,instance,Berlin
No-MM_N1100,1896-06,instance,N/A
No-MM_N1101,1896-04-24,instance,N/A
No-MM_N1103,1901-12,instance,N/A
No-MM_N1109,1923-04,instance,N/A
No-MM_N1114,1927-10,instance,N/A
No-MM_N1115,1926-01,instance,N/A
No-MM_N1121,1927-10,instance,N/A
No-MM_N1127,1926%1926,fromTo,N/A
No-MM_N1132,N/A,N/A,Oslo
No-MM_N1135,1929-01,instance,N/A
No-MM_N1139,1929-01,instance,N/A
No-MM_N1140,1927-07,instance,N/A
No-MM_N1142,1930-06,instance,N/A
No-MM_N1143,1931-05,instance,N/A
No-MM_N1144,N/A,N/A,Oslo
No-MM_N1145,1931-05,instance,N/A
No-MM_N1147,1930-06,instance,N/A
No-MM_N1148,1932-11,instance,N/A
